u,v,usage,pop_affected,pop_lost,score
1425545887,4843057126,233270,0,0,
1428255174,1428255212,232684,0,0,
1425700860,1425700869,232532,0,0,
1428255212,1429141421,231946,0,0,
1425700869,1425700872,231792,0,0,
6330060300,6330060302,231685,0,0,
1425700872,1425700882,231581,0,0,
6330060300,6330060304,231394,0,0,
1425700874,1425700882,231255,0,0,
1425700874,4843065622,231023,0,0,
6330060304,6330060305,230890,0,0,
1431998396,6330060305,230732,0,0,
1431998396,10236604787,230552,0,0,
6243206704,10081232345,230155,0,0,
9709080500,10081232345,229862,0,0,
6324543812,9709080500,229531,0,0,
1425716680,4843065622,228924,0,0,
1425716680,1442701157,228320,0,0,
1428088322,1428104864,227917,0,0,
6324543812,11700220166,227637,0,0,
10097303752,10236604787,227091,0,0,
11700220166,11700233907,227023,0,0,
10097303749,10097303752,226949,0,0,
6324597699,11700233907,226681,0,0,
1428088322,1428088333,226181,0,0,
1428088333,1428088363,225837,0,0,
1428088363,1428088373,225380,0,0,
1425700732,1425700742,221926,0,0,
1425700742,1425700752,221671,0,0,
1425700752,1425716596,220742,0,0,
1985586594,1985586596,217877,0,0,
1430553592,1430553598,215208,0,0,
4849317167,6877556858,214372,0,0,
4822053249,4822053258,212512,0,0,
4822053258,4822053263,212256,0,0,
4822053251,4822053263,212066,0,0,
4822053251,4822053262,211735,0,0,
1424351626,1424618661,211529,0,0,
4822053262,4822064698,211445,0,0,
4849317169,6877556858,211435,0,0,
4849317168,4849317169,211231,0,0,
4849317154,4849317168,211070,0,0,
6324545332,10096926236,210356,0,0,
5526899722,10096926236,209802,0,0,
1424619139,5526899722,209367,0,0,
10088707772,10088707774,208937,0,0,
4843019973,10088707772,208624,0,0,
1428119379,1428119535,208563,0,0,
4843019973,10088707773,208039,0,0,
4849317154,9054502256,207937,0,0,
1424351489,1424618661,207307,0,0,
1424351481,1424351489,207025,0,0,
1425700485,10088707773,206821,0,0,
1424351481,1424618550,206706,0,0,
1424618550,3896686707,206396,0,0,
1425700485,11046320433,206194,0,0,
3896686706,3896686707,205761,0,0,
3896686706,12094880367,205328,0,0,
1424618459,12094880367,204629,0,0,
1428213725,10003353134,201948,0,0,
1428254819,10003353134,201638,0,0,
1428213811,1428254819,201260,0,0,
1424619139,5526899723,201230,0,0,
10277761447,11046320433,201113,0,0,
1985586594,2914440127,200871,0,0,
2914440127,11700222763,200800,0,0,
4822511430,6324597699,200763,0,0,
11700222763,11700222767,200669,0,0,
10277761446,10277761447,200638,0,0,
6330174755,11700222767,200521,0,0,
1428213811,1428213816,200466,0,0,
4844926448,6330174755,200149,0,0,
10277761445,10277761446,199994,0,0,
4822064698,4822064699,199895,0,0,
4822064699,10264785926,199704,0,0,
10277761445,10277761448,199391,0,0,
1985586535,4844926448,199321,0,0,
1985586535,4844926449,199203,0,0,
4844926449,4844926461,198993,0,0,
6581097852,10277761448,198923,0,0,
4926473715,6581097852,198524,0,0,
1428213816,1428213830,198230,0,0,
1425700387,4926473715,198157,0,0,
1428213830,1429141374,197625,0,0,
6330060302,6330060306,194893,0,0,
1431998387,6330060306,194562,0,0,
1431998387,6330060313,194427,0,0,
1431998382,6330060313,194064,0,0,
1428213780,11865941793,193272,0,0,
6324521017,10733461079,190959,0,0,
6324521017,9185226050,190837,0,0,
1435330456,9185226050,190676,0,0,
1435330456,9185226053,190473,0,0,
1429141373,1429141374,190013,0,0,
6324577033,9185226053,189892,0,0,
1435330449,6324577033,189837,0,0,
1429141373,1429141403,189581,0,0,
1429141403,1429141416,189264,0,0,
1435330446,1435330449,188541,0,0,
1432144311,1435330446,188120,0,0,
4844926461,5526684894,188097,0,0,
10264785926,10264785927,187496,0,0,
5860383466,10264785927,187285,0,0,
5860383466,9696582849,186357,0,0,
1424351104,1424618459,186238,0,0,
1428088373,1428088515,185926,0,0,
1428213710,11865941793,185877,0,0,
1432144311,1432144340,185797,0,0,
1432144340,1432144353,185739,0,0,
1428213710,11865934965,185136,0,0,
1428213667,11865934965,184860,0,0,
1428213605,1428213667,184578,0,0,
1428213560,1428213605,184271,0,0,
1431998391,10097303749,183920,0,0,
1431998391,1431998407,181294,0,0,
1431073045,1431998407,177117,0,0,
1832906027,3832483008,175759,0,0,
3840381310,9696582849,175661,0,0,
3840381310,3898409461,175441,0,0,
1429141408,1429141416,175201,0,0,
4834023388,12377642695,175018,0,0,
1424351104,10096794937,174524,0,0,
3053419643,10096794937,174111,0,0,
3053419640,3053419643,173479,0,0,
3421891081,3437214512,173383,0,0,
1424351027,3053419640,173182,0,0,
4822511430,11840368648,172591,0,0,
1424351019,1424351027,172453,0,0,
1430553574,1430553592,172339,0,0,
1424351019,3053419637,172189,0,0,
1430553574,1431041684,172071,0,0,
1425700292,1425700301,171700,0,0,
11840368648,11840368649,171572,0,0,
1431998382,10099903503,171498,0,0,
3053419637,9958465961,171451,0,0,
1832899636,3421891081,171213,0,0,
6330060314,10099903503,171030,0,0,
1428213631,1428213655,170984,0,0,
1832899636,9709080428,170954,0,0,
1424353265,11840368649,170949,0,0,
1431998376,6330060314,170843,0,0,
1424619167,9709080428,170684,0,0,
1428213615,1428213631,170572,0,0,
1425700239,1425700292,170388,0,0,
1431998376,11890933891,170298,0,0,
1425700238,1425700239,170157,0,0,
1425700238,10057808091,169903,0,0,
1424353265,11840368650,169558,0,0,
1428213603,1428213615,169318,0,0,
